2153159,2
1791156,1
1794719,2
1863851,1
1805037,1
1976085,1
1876711,1
1510242,3
2304816,2
1557401,3
1683529,2
1785213,2
1850693,2
2409012,1
2073833,1
2101533,1
1274724,1
1690564,1
1857958,1
1906118,1
1725047,1
2044475,1
2203601,2
1484846,2
2199142,1
2263011,1
1722974,1
1671363,1
1449566,1
2243187,1
2067716,2
2273098,1
1592955,2
1775630,1
1796930,1
1698278,1
1801243,1
2069262,1
1669271,1
2164268,1
1735113,1
1633472,1
1997624,1
1633087,1
2183021,1
2177946,1
1494429,1
1565508,1
2083920,1
1956701,2
1640794,1
1813409,1
1517530,1
2094917,1
2193108,2
1615859,1
1292665,3
2528805,1
1492301,2
2127882,3
1756736,1
1590352,1
2012373,1
1954040,1
1912152,1
2091446,1
2189055,1
1499917,1
2434696,1
1814543,2
1651840,1
1647836,1
2113811,1
1867541,1
2224797,1
1832162,2
1962147,1
1954889,1
2233604,1
1958528,1
2251902,1
1659688,1
2430208,1
1706294,1
1440297,1
1716219,1
